timestamp,object,x1,y1,x2,y2
2025-05-17 18:01:33,car,299,288,316,299
2025-05-17 18:01:33,car,462,362,527,395
2025-05-17 18:01:34,car,298,305,314,317
2025-05-17 18:01:34,car,298,309,315,319
2025-05-17 18:01:34,person,305,365,312,386
2025-05-17 18:01:34,car,256,336,276,350
2025-05-17 18:01:34,person,281,363,288,377
2025-05-17 18:01:34,car,299,309,315,319
2025-05-17 18:01:34,car,257,336,278,350
2025-05-17 18:01:34,car,302,306,318,317
2025-05-17 18:01:34,person,244,376,272,408
2025-05-17 18:01:34,car,262,333,281,346
2025-05-17 18:01:34,car,304,302,320,313
2025-05-17 18:01:34,person,310,355,319,378
2025-05-17 18:01:34,person,249,372,277,403
2025-05-17 18:01:34,car,306,296,322,306
2025-05-17 18:01:34,person,252,365,279,396
2025-05-17 18:01:34,person,309,349,316,370
2025-05-17 18:01:34,car,302,296,317,306
2025-05-17 18:01:34,car,345,303,363,311
2025-05-17 18:01:35,car,297,297,312,307
2025-05-17 18:01:35,person,233,367,261,397
2025-05-17 18:01:35,car,290,296,306,306
2025-05-17 18:01:35,car,332,305,351,313
2025-05-17 18:01:35,person,229,366,257,396
2025-05-17 18:01:35,person,293,349,301,370
2025-05-17 18:01:35,car,332,304,349,312
2025-05-17 18:01:35,person,271,347,280,362
2025-05-17 18:01:35,person,230,363,260,395
2025-05-17 18:01:35,car,287,294,302,303
2025-05-17 18:01:35,person,233,360,261,390
2025-05-17 18:01:35,car,250,318,268,331
2025-05-17 18:01:35,car,291,289,306,299
2025-05-17 18:01:35,car,293,289,309,300
2025-05-17 18:01:35,person,240,359,267,389
2025-05-17 18:01:35,person,241,359,269,389
2025-05-17 18:01:36,car,296,292,311,303
2025-05-17 18:01:36,car,297,295,312,305
2025-05-17 18:01:36,person,305,348,312,370
2025-05-17 18:01:36,car,300,295,315,305
2025-05-17 18:01:36,person,309,348,317,370
2025-05-17 18:01:36,person,261,355,287,384
2025-05-17 18:01:36,car,316,283,332,294
2025-05-17 18:01:36,person,265,352,289,379
2025-05-17 18:01:36,person,268,348,294,378
2025-05-17 18:01:37,person,268,349,294,378
2025-05-17 18:01:37,car,316,283,332,293
2025-05-17 18:01:37,person,265,351,290,380
2025-05-17 18:01:37,car,314,285,329,295
2025-05-17 18:01:37,person,263,353,291,382
2025-05-17 18:01:37,person,3,50,93,173
2025-05-17 18:01:37,person,252,358,278,388
2025-05-17 18:01:37,person,248,358,275,389
2025-05-17 18:01:37,car,300,290,316,301
2025-05-17 18:01:37,person,0,52,91,173
2025-05-17 18:01:37,car,297,289,313,300
2025-05-17 18:01:37,person,245,359,273,388
2025-05-17 18:01:38,car,184,277,200,287
2025-05-17 18:01:38,car,181,276,197,287
2025-05-17 18:01:38,car,393,373,471,413
2025-05-17 18:01:38,car,184,275,198,286
2025-05-17 18:01:38,car,187,274,205,285
2025-05-17 18:01:38,car,190,272,207,284
2025-05-17 18:01:38,car,191,272,207,283
2025-05-17 18:01:38,car,191,271,207,282
2025-05-17 18:01:38,car,191,271,208,281
2025-05-17 18:01:38,car,267,289,287,298
2025-05-17 18:01:38,car,193,270,209,280
2025-05-17 18:01:38,person,224,340,232,364
2025-05-17 18:01:39,car,195,270,211,280
2025-05-17 18:01:39,car,196,269,212,279
2025-05-17 18:01:39,car,196,269,212,279
2025-05-17 18:01:39,car,196,270,212,280
2025-05-17 18:01:39,car,196,270,213,280
2025-05-17 18:01:39,car,413,372,495,413
2025-05-17 18:01:39,car,396,361,466,395
2025-05-17 18:01:39,car,197,270,214,280
2025-05-17 18:01:40,person,229,341,238,370
2025-05-17 18:01:42,car,187,319,210,334
2025-05-17 18:01:42,car,194,271,210,282
2025-05-17 18:01:42,car,194,272,210,282
2025-05-17 18:01:42,person,241,349,249,371
2025-05-17 18:01:42,car,424,378,507,418
2025-05-17 18:01:42,car,196,271,212,282
2025-05-17 18:01:44,car,201,267,216,280
2025-05-17 18:01:44,car,199,266,215,279
2025-05-17 18:01:44,person,179,369,212,403
2025-05-17 18:01:44,car,199,321,221,335
2025-05-17 18:01:44,person,178,369,211,403
2025-05-17 18:01:44,car,199,321,221,335
2025-05-17 18:01:45,car,198,320,221,335
2025-05-17 18:09:56,car,285,323,335,347
2025-05-17 18:09:56,car,68,248,104,264
2025-05-17 18:09:56,person,397,410,407,433
2025-05-17 18:09:56,person,384,411,397,436
2025-05-17 18:09:56,car,285,323,335,347
2025-05-17 18:09:56,car,68,248,104,264
2025-05-17 18:09:56,person,397,410,407,432
2025-05-17 18:09:56,person,385,410,397,436
2025-05-17 18:09:57,car,284,323,335,347
2025-05-17 18:09:57,car,69,248,104,264
2025-05-17 18:09:57,person,397,409,408,434
2025-05-17 18:09:57,person,385,409,397,436
2025-05-17 18:09:57,car,284,323,335,347
2025-05-17 18:09:57,car,69,248,104,264
2025-05-17 18:09:57,person,397,409,408,433
2025-05-17 18:09:57,person,384,409,397,436
2025-05-17 18:09:57,car,81,287,114,309
2025-05-17 18:09:57,car,285,323,335,347
2025-05-17 18:09:57,car,68,248,104,264
2025-05-17 18:09:57,person,396,409,407,434
2025-05-17 18:09:57,person,384,408,397,436
2025-05-17 18:09:57,car,284,323,335,347
2025-05-17 18:09:57,car,69,248,104,264
2025-05-17 18:09:57,person,397,409,407,433
2025-05-17 18:09:57,car,78,215,101,230
2025-05-17 18:09:57,car,285,323,335,347
2025-05-17 18:09:57,car,69,248,104,264
2025-05-17 18:09:57,person,397,408,407,434
2025-05-17 18:09:57,person,384,408,396,435
2025-05-17 18:09:57,car,222,257,252,270
2025-05-17 18:09:57,car,284,323,335,347
2025-05-17 18:09:57,car,68,248,105,264
2025-05-17 18:09:57,person,396,408,407,434
2025-05-17 18:09:57,person,384,408,396,435
2025-05-17 18:09:57,car,78,216,101,230
2025-05-17 18:09:57,car,285,323,335,347
2025-05-17 18:09:57,car,69,248,104,264
2025-05-17 18:09:57,person,396,408,408,433
2025-05-17 18:09:57,car,222,256,252,270
2025-05-17 18:09:57,person,384,408,396,435
2025-05-17 18:09:58,car,284,323,335,347
2025-05-17 18:09:58,car,69,248,104,264
2025-05-17 18:09:58,person,396,407,408,433
2025-05-17 18:09:58,person,384,408,396,435
2025-05-17 18:09:58,car,222,257,252,270
2025-05-17 18:09:58,car,285,323,335,347
2025-05-17 18:09:58,car,69,248,104,264
2025-05-17 18:09:58,person,396,407,408,433
2025-05-17 18:09:58,car,222,257,252,270
2025-05-17 18:09:58,person,384,407,396,434
2025-05-17 18:09:58,car,78,216,100,229
2025-05-17 18:09:58,car,285,323,335,347
2025-05-17 18:09:58,car,69,248,104,264
2025-05-17 18:09:58,person,396,408,407,433
2025-05-17 18:09:58,person,384,408,396,434
2025-05-17 18:09:58,car,222,257,252,270
2025-05-17 18:09:58,car,78,216,101,230
2025-05-17 18:09:58,car,284,323,335,347
2025-05-17 18:09:58,car,68,248,105,264
2025-05-17 18:09:58,person,396,407,408,433
2025-05-17 18:09:58,person,384,407,396,433
2025-05-17 18:09:58,car,285,323,335,347
2025-05-17 18:09:58,car,69,248,104,264
2025-05-17 18:09:58,person,384,407,396,434
2025-05-17 18:09:58,person,396,406,407,432
2025-05-17 18:09:58,car,223,256,252,270
2025-05-17 18:09:58,car,79,216,100,230
2025-05-17 18:09:58,car,285,323,335,347
2025-05-17 18:09:58,car,69,248,104,264
2025-05-17 18:09:58,person,396,407,407,432
2025-05-17 18:09:58,person,384,407,396,434
2025-05-17 18:09:58,car,78,216,100,230
2025-05-17 18:09:58,car,285,323,335,347
2025-05-17 18:09:58,car,69,248,104,264
2025-05-17 18:09:58,person,396,407,407,432
2025-05-17 18:09:58,person,384,408,395,434
2025-05-17 18:09:58,car,78,216,100,230
2025-05-17 18:09:59,car,285,323,335,347
2025-05-17 18:09:59,car,68,248,104,264
2025-05-17 18:09:59,person,384,408,395,434
2025-05-17 18:09:59,person,396,406,406,432
2025-05-17 18:09:59,car,544,356,577,381
2025-05-17 18:09:59,car,78,215,100,230
2025-05-17 18:09:59,car,285,323,335,347
2025-05-17 18:09:59,car,69,248,104,264
2025-05-17 18:09:59,person,384,407,396,434
2025-05-17 18:09:59,person,396,406,407,432
2025-05-17 18:09:59,car,544,356,579,380
2025-05-17 18:09:59,car,222,257,252,270
2025-05-17 18:09:59,car,284,323,335,347
2025-05-17 18:09:59,car,68,248,104,264
2025-05-17 18:09:59,person,384,407,396,434
2025-05-17 18:09:59,person,395,404,407,432
